ground,before,vehicle,after,title,author
useful,"From everything I’d read, the embargoes had proved about",an ashtray on a motorbike,.,Exit Wound,Andy McNab
useful,“I’m,"balls on a priest with this arm, Sid",.”,Darkdawn,Jay Kristoff
useful,"“As a shipping terminus, I find it about",a second belly button on my forehead,.”,Flood Tide,Clive Cussler
useful,"But my tongue is mossy from the tranquilizers, and my brain feels about",a clump of masking tape,.,Good Grief,Lolly Winston
useful,All I’ve got is a crossed cheque that’s,confetti at a funeral,.,Diana of Kara-Kara,Edgar Wallace
useful,“You’re about,a limp dick,.”,Dark Horse,Tami Hoag
useful,“You’re about,"a Mason jar full of toenail clippings,” Uncle Alva said",.,The Reckless Oath We Made,Bryn Greenwood
useful,"...unless you know the freqs they’re transmitting on, it’s",a master’s degree in philosophy Hanna,...,Gemina,Amie Kaufman
useful,His officer was about,a plastic Jesus on the dashboard,.,A Season For Slaughter,David Gerrold
welcome,"Willie smiled happily, obviously unaware his offering was",the Bud light truck at a Baptist church social,.,Death On Demand,Carolyn G. Hart
welcome,But to Bree it was,a cat proudly leaving a beheaded mouse oozing blood on your doorstep,.,What's a Girl Gotta Do?,Holly Bourne
welcome,"We’ve gathered for our command family dinner, and while my mother is a fine cook, I feel",a cockroach in a salad,.,Catch of the Day,Kristan Higgins
welcome,"After that, we’re",encyclopedia salesmen,.,Industrial Magic,Kelley Armstrong
welcome,The smile told Rebus he was,haemorrhoids at a rodeo,.,Mortal Causes,Ian Rankin
welcome,...in that voice she used when humour was,the old boyfriend of the bride,.,Acqua Alta,Donna Leon
welcome,“This crap is,a pile of severed dog cocks,.”,The Lies of Locke Lamora,Scott Lynch
welcome,“This baby will be,a pork chop in a synagogue,.”,Dangerous Lady,Martina Cole
welcome,...he was made to feel by the consular officials,a registered sex offender seeking overnight lodging at a Girl Scout camp,.,Black Ops,W.E.B. Griffin
welcome,My suggestion was,a risotto of pig manure,.,TheAlchemist’sApprentice,Dave Duncan
welcome,"But on a cold day, in a drafty room, chilled cucumber soup is about",a swarm of wasps at a bat mitzvah,.,The Wide Window,Lemony Snicket
