ground,vehicle,count
white,snow,924
good,death,912
white,sheet,890
cold,ice,855
hard,stone,771
still,statue,728
black,night,628
good,gold,608
pale,death,603
good,dead,602
silent,grave,502
still,stone,483
light,feather,481
still,death,442
clear,day,407
quiet,mouse,402
big,house,386
old,time,385
smooth,glass,380
sharp,knife,356
pale,ghost,322
big,saucer,319
quiet,grave,313
old,hill,308
cool,cucumber,298
white,ghost,296
dark,night,295
bright,sun,287
red,blood,269
thick,thief,266
hard,iron,263
plain,day,252
clear,bell,251
strong,ox,251
sharp,razor,248
black,coal,241
black,pitch,240
poor,mouse,234
white,milk,231
hard,steel,230
light,air,223
solid,stone,222
clear,daylight,221
smooth,silk,221
white,chalk,220
blue,sky,220
strong,horse,218
stiff,board,218
still,mouse,217
wide,saucer,217
brave,lion,217
clear,crystal,215
steady,stone,214
bold,brass,211
black,ink,209
white,death,206
quick,lightning,206
stubborn,mule,205
good,play,192
red,beet,192
sharp,needle,191
red,fire,191
weak,kitten,191
pretty,picture,188
straight,arrow,188
dark,pitch,185
pleased,punch,182
blind,bat,181
neat,pin,180
soft,silk,177
true,steel,176
sure,fate,175
good,new,174
dry,bone,174
mad,hatter,174
clean,whistle,170
dry,desert,169
gentle,lamb,169
motionless,statue,168
fresh,daisy,166
clear,glass,161
thin,paper,160
black,midnight,159
white,paper,157
fit,fiddle,156
loud,gunshot,155
sweet,honey,153
helpless,baby,153
hard,granite,151
hungry,bear,151
cold,death,149
still,grave,145
pure,snow,144
innocent,baby,143
deep,sea,142
thick,tree,137
dry,dust,135
loud,thunder,135
flat,pancake,134
regular,clockwork,134
tight,drum,133
big,mountain,132
cold,stone,131
plain,pikestaff,131
weak,baby,130
hard,flint,127
soft,velvet,126
happy,king,125
heavy,stone,123
quiet,lamb,121
free,air,121
pale,sheet,118
black,ebony,117
good,mile,114
black,raven,114
quick,flash,114
old,world,113
warm,toast,113
helpless,child,112
busy,bee,112
pale,snow,111
hot,fire,111
black,thunder,110
fine,silk,110
pale,milk,108
strong,bull,108
bright,star,108
ugly,sin,108
weak,water,107
hungry,wolf,107
close,brother,107
tall,tree,107
firm,stone,106
dark,midnight,104
dry,sand,104
fast,lightning,103
proud,peacock,103
pale,moon,101
slippery,eel,101
pale,corpse,99
red,tomato,99
soft,butter,99
fast,wind,99
red,lobster,98
blue,sea,98
white,bone,97
white,marble,96
mad,hare,95
innocent,child,95
free,bird,95
rigid,statue,95
large,life,94
easy,pie,94
clear,water,93
high,kite,92
nervous,cat,92
tough,leather,91
pale,ash,90
clear,mud,90
strong,steel,90
still,corpse,89
smooth,baby,89
hungry,hunter,89
round,moon,88
round,saucer,88
bright,day,87
crazy,loon,87
big,moon,86
happy,lark,86
