ground,count,rank,category
vulnerable,31,1,defenseless
helpless,112,2,defenseless
docile,17,2,defenseless
ignorant,25,2,defenseless
sensitive,5,2,defenseless
harmless,12,3,defenseless
small,19,3,defenseless
frail,5,4,defenseless
timid,6,4,defenseless
weak,75,4,defenseless
gentle,23,5,defenseless
shy,4,5,defenseless
delicate,13,7,defenseless
nervous,7,8,defenseless
tiny,3,10,defenseless
tender,3,11,defenseless
fragile,6,16,defenseless
excited,62,1,wholesome
simple,50,1,wholesome
pleased,34,2,wholesome
innocent,95,2,wholesome
open,10,3,wholesome
gay,7,4,wholesome
honest,5,4,wholesome
pure,13,4,wholesome
happy,49,5,wholesome
merry,9,5,wholesome
fresh,7,10,wholesome
sweet,7,16,wholesome
light,17,13,other
wide,9,14,other
soft,14,20,other
wild,3,20,other
smooth,10,23,other
quiet,3,29,other
clear,4,32,other
quick,3,34,other
bright,3,56,other
thin,4,56,other
transparent,11,5,other
bad,5,7,other
slender,3,8,other
