vehicle,total,top5,top1
cat,33,12,4
bird,32,9,0
horse,18,4,1
fish,17,5,1
mouse,16,9,3
bear,15,5,1
dog,13,3,1
wolf,13,6,0
rabbit,12,1,0
owl,11,7,2
bull,11,3,0
deer,10,3,0
lion,10,3,2
pig,10,3,1
