ground,count,rank,category
hard,771,1,hard
solid,222,1,hard
heavy,123,1,hard
firm,106,1,hard
unyielding,25,1,hard
dense,11,1,hard
impenetrable,7,1,hard
rigid,57,2,hard
stiff,23,6,hard
tough,9,7,hard
strong,25,9,hard
steady,214,1,no motion
immovable,30,1,no motion
still,483,2,no motion
motionless,42,2,no motion
calm,10,5,no motion
dumb,41,1,no sound
deaf,10,2,no sound
mute,12,3,no sound
silent,51,4,no sound
quiet,16,10,no sound
blank,26,1,no expression
impassive,22,1,no expression
expressionless,12,1,no expression
dull,13,3,no expression
ignorant,5,4,no expression
stupid,5,7,no expression
plain,3,10,no expression
lifeless,6,2,no life
sober,4,2,no life
cold,131,3,no life
dead,51,3,no life
gray,21,3,no life
bald,7,5,no life
bare,3,9,no life
real,8,2,other
comfortable,4,2,other
stubborn,8,4,other
sound,9,6,other
ancient,3,6,other
small,5,9,other
cool,7,11,other
rough,4,11,other
old,16,12,other
smooth,28,13,other
dry,15,14,other
sure,3,16,other
flat,4,21,other
fast,4,27,other
pale,8,30,other
tight,3,31,other
hot,3,34,other
blue,3,38,other
sharp,6,43,other
thick,8,51,other
white,6,55,other
dark,4,64,other
black,3,75,other
big,7,89,other
